Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
IMG/robocam_2017_06_04_11_06_22_255.jpg,-2.055605,1,0,1.809968,101.1385,87.20477,1.275301,47.59946,-0.000396916
IMG/robocam_2017_06_04_11_06_22_322.jpg,0,1,0,1.870944,101.2149,87.28728,1.283017,47.52641,-0.000717457
IMG/robocam_2017_06_04_11_06_22_389.jpg,-1.96358,1,0,1.915362,101.3197,87.40011,1.289983,47.40803,-0.000419523
IMG/robocam_2017_06_04_11_06_22_453.jpg,0,1,0,1.960501,101.4006,87.48691,1.28948,47.33963,-0.00078447
IMG/robocam_2017_06_04_11_06_22_523.jpg,0,1,0,2.020819,101.4833,87.57588,1.299102,47.31849,-0.001101037
IMG/robocam_2017_06_04_11_06_22_589.jpg,0,1,0,2.065606,101.5963,87.69743,1.302284,47.30271,-0.00115033
IMG/robocam_2017_06_04_11_06_22_655.jpg,0,1,0,2.110242,101.6832,87.79086,1.305021,47.29209,-0.001190549
IMG/robocam_2017_06_04_11_06_22_723.jpg,0,1,0,2.16943,101.772,87.88622,1.308701,47.27937,-0.001194074
IMG/robocam_2017_06_04_11_06_22_789.jpg,0,1,0,2.213447,101.8932,88.01639,1.314769,47.26508,-0.001217909
IMG/robocam_2017_06_04_11_06_22_856.jpg,-2.041071,1,0,2.257631,101.9865,88.11579,1.312724,47.15292,-0.000515468
IMG/robocam_2017_06_04_11_06_22_921.jpg,-5.952363,1,0,2.314534,102.0831,88.21568,1.313279,46.69688,0.001107849
IMG/robocam_2017_06_04_11_06_22_989.jpg,-9.995315,1,0,2.356194,102.2186,88.34733,1.299639,45.3431,359.9708
IMG/robocam_2017_06_04_11_06_23_055.jpg,-14.0566,1,0,2.39485,102.3257,88.44292,1.244046,43.74729,359.8907
IMG/robocam_2017_06_04_11_06_23_122.jpg,-10.09654,1,0,2.448752,102.436,88.5371,1.135843,42.09809,359.8226
IMG/robocam_2017_06_04_11_06_23_189.jpg,-6.123521,1,0,2.494053,102.5879,88.6637,1.000568,40.55434,359.7486
IMG/robocam_2017_06_04_11_06_23_255.jpg,-2.094522,1,0,2.53819,102.705,88.76089,0.9462913,39.95559,359.7101
